Title,Detail,Price(in dollar),Offer price(in dollar),Number of bed,Rating,Number of Reviews,Start Date,End Date,Length of Stay
"Chalet in Skykomish, Washington, US",Sky Haus - A-Frame Cabin,306.0,229.0,4.0,4.85,531.0,2024-06-11,2024-01-16,-147
"Cabin in Hancock, New York, US",The Catskill A-Frame - Mid-Century Modern Cabin,485.0,170.0,4.0,4.77,146.0,2024-06-06,2024-01-11,-147
"Cabin in West Farmington, Ohio, US",The Triangle: A-Frame Cabin for your city retreat,119.0,522.0,4.0,4.91,515.0,2024-07-09,2024-01-14,-177
"Home in Blue Ridge, Georgia, US",*Summer Sizzle* 5 Min to Blue Ridge* Pets* Hot tub,192.0,348.0,5.0,4.94,88.0,2024-06-11,2024-01-16,-147
"Treehouse in Grandview, Texas, US",Luxury Treehouse Couples Getaway w/ Peaceful Views,232.0,196.0,1.0,4.99,222.0,2024-06-04,2024-01-09,-147
"Tiny home in Puerto Escondido, Mexico",Casa Tiny near Casa Wabi,261.0,148.0,1.0,4.84,555.0,2024-06-21,2024-01-26,-147
"Home in Saco, Maine, US",The Beach House. Oceanfront & Sunrise Views!,607.0,156.56024096385542,2.0,4.64,90.0,2024-06-04,2024-01-09,-147
"Chalet in Grand Étang, Canada",• Cedar Peak • 2 Bedroom Barrier-Free Chalet,381.0,156.56024096385542,2.0,5.0,48.0,2024-06-08,2024-01-15,-145
"Room in Mexico City, Mexico","Room in apartment, traditional neighborhood",29.0,156.56024096385542,2.0,4.84,58.0,2024-07-03,2024-01-08,-177
"Guest suite in Huntsville, Canada",Hidden Valley’s Guest Suite - explore nature,207.0,156.56024096385542,2.0,4.97,265.0,2024-09-04,2024-01-10,-238
"Cabin in Nelson, Canada",Downey Family Cabin. Barrel Sauna Included!,162.0,156.56024096385542,2.0,4.99,226.0,2024-06-01,2024-01-06,-147
"Dome in Joshua Tree, California, US",Dome in the Desert in Joshua Tree,268.0,156.56024096385542,1.0,4.94,944.0,2024-06-01,2024-01-06,-147
"Barn in Vero Beach, Florida, US",Private Barn Studio at Pura Vida Florida Farm,111.0,156.56024096385542,2.0,4.95,417.0,2024-09-11,2024-01-16,-239
"Tiny home in Bolton, Vermont, US",Cozy Tiny House Cabin between Burlington and Stowe,174.0,156.56024096385542,2.0,4.97,372.0,2024-06-01,2024-01-06,-147
"Cabin in Ucluelet, Canada",Peace Cabin - private waterfront forest retreat,497.0,156.56024096385542,1.0,4.99,69.0,2024-09-08,2024-01-13,-239
"Barn in Essex, Canada",14th Homestead Barn Loft,163.0,156.56024096385542,1.0,4.9,289.0,2024-06-11,2024-01-16,-147
"Apartment in Bacalar, Mexico","Lagoon Front Hut: Daily Cleaning, Bikes & Kayaks!",141.0,156.56024096385542,1.0,4.89,633.0,2024-06-18,2024-01-23,-147
"Farm stay in Del Norte County, California, US",Underground Hobbit Hole @ Sustainable Ecovillage,89.0,253.0,1.0,4.54,195.0,2024-06-09,2024-01-14,-147
"Treehouse in Frazeysburg, Ohio, US",Tullihas in the Trees Off-Grid Treehouse,143.0,156.56024096385542,2.0,4.98,181.0,2024-06-04,2024-01-09,-147
"Cabin in Rodney, Canada",SECLUDED LAKESIDE CABIN,463.0,156.56024096385542,3.0,4.99,172.0,2024-07-23,2024-01-28,-177
"Room in La Habana, Cuba",Fauria Colonial House (Room 3),29.0,156.56024096385542,1.0,4.92,75.0,2024-06-21,2024-01-26,-147
"Dome in Terlingua, Texas, US",Domeland: Off-grid Adobe Dome near Big Bend,136.0,156.56024096385542,5.0,4.95,863.0,2024-07-09,2024-01-14,-177
"Home in Port Angeles, Washington, US",Lake Sutherland Waterfront Cabin w/ Expansive Dock,688.0,156.56024096385542,1.0,4.82,83.0,2024-09-01,2024-01-06,-239
"Treehouse in Fredericksburg, Texas, US",Luxury Tree House X Magical Romantic Forest! Pool!,658.0,156.56024096385542,1.0,4.91,142.0,2024-06-18,2024-01-23,-147
"Cottage in Harcourt, Canada",Scandinavian-Inspired Tiny Home Experience,392.0,156.56024096385542,2.0,4.98,95.0,2024-09-03,2024-01-08,-239
"Tiny home in Medellín, Colombia",Tiny House Cubo Nube Santa Elena 40 min. Medellin.,67.0,156.56024096385542,1.0,4.95,197.0,2024-06-17,2024-01-22,-147
"Cabin in Medellín, Colombia",Chalet Boutique Saltamontes Santa Elena,51.0,156.56024096385542,2.0,4.94,232.0,2024-06-04,2024-01-09,-147
"Cabin in Bryson City, North Carolina, US",Secluded View! A-Frame Hot Tub and Fire Pit,354.0,156.56024096385542,1.0,4.95,20.0,2024-06-19,2024-01-24,-147
"Place to stay in Retiro, Colombia",★ BubbleSky Glamping ★ One Night Under Stars ★3,107.0,156.56024096385542,2.0,4.9,154.0,2024-06-23,2024-01-28,-147
"Cabin in Bluefields, Jamaica",Cozy Oceanview Cabin,102.0,156.56024096385542,1.0,4.88,76.0,2024-07-14,2024-01-21,-175
"Hut in Bavaro, Dominican Republic",Hut #1 Romantic Luxury Beachfront,171.0,156.56024096385542,2.0,4.89,377.0,2024-07-01,2024-01-06,-177
"Treehouse in Marion, North Carolina, US",Treehouse w/Breathtaking Views+HotTub+Hiking+Falls,286.0,156.56024096385542,1.0,5.0,21.0,2024-08-12,2024-01-17,-208
"Dome in Sandgate, Vermont, US",“Whimsical Stone Abode” - Boston Magazine,301.0,156.56024096385542,1.0,5.0,244.0,2024-06-06,2024-01-11,-147
"Condo in Puerto Vallarta, Mexico",Buddha Loft in Romantic Zone of Puerto Vallarta,112.0,146.0,1.0,4.85,175.0,2024-07-12,2024-01-17,-177
"Cabin in Sanbornton, New Hampshire, US",The G Frame...an offGrid Cabin + woodstove sauna,169.0,1089.0,2.0,4.96,395.0,2024-06-04,2024-01-09,-147
"Room in La Habana, Cuba",Casa Blanca B&B with beautiful terrace &sea views,43.0,630.0,2.0,4.82,359.0,2024-09-11,2024-01-16,-239
"Home in Moss Beach, California, US",Walk to the Beach from this Ocean Front Home,1463.0,225.0,9.0,4.94,149.0,2024-06-01,2024-01-06,-147
"Cottage in Wheatley, Canada","Cozy Modern Beach House w/ Pool, Hot Tub & More!",764.0,819.0,2.0,4.74,19.0,2024-06-04,2024-01-11,-145
"Cabin in Topanga, California, US","Crystal Cabin, Restored Vintage Lodge in Topanga State Park",225.0,156.56024096385542,1.0,4.94,209.0,2024-06-03,2024-01-08,-147
"Chalet in Cajicá, Colombia",Casa Anís,40.0,156.56024096385542,3.0,4.96,202.0,2024-06-01,2024-01-06,-147
"Cabin in Center Conway, New Hampshire, US",Warm Pine A-frame Nestled In The Trees!,287.0,156.56024096385542,1.0,4.79,536.0,2024-07-01,2024-01-06,-177
"Cottage in Renous, Canada",Hambrook Point Cottage “Homestead”,93.0,156.56024096385542,3.0,4.87,360.0,2024-06-25,2024-01-30,-147
"Tiny home in Huntsville, Missouri, US",O’s Barn Cabin,118.0,156.56024096385542,2.0,4.94,296.0,2024-07-04,2024-01-09,-177
"Tiny home in Castleton, Canada","Artsy ""Glamping"" experience",138.0,156.56024096385542,3.0,4.91,278.0,2024-07-21,2024-01-26,-177
"Cottage in Bodega Bay, California, US","Seamist Beach Cottage, Private Beach & Ocean views",670.0,156.56024096385542,2.0,4.7,256.0,2024-08-13,2024-01-18,-208
"Cabin in Rocky View County, Canada",100+ Year old Rustic Log Cabin near Ghost Lake,135.0,156.56024096385542,1.0,4.83,459.0,2024-08-25,2024-01-30,-208
"Houseboat in Low, Canada",The Dragon + Private Island,178.0,156.56024096385542,1.0,4.87,61.0,2024-06-01,2024-01-06,-147
"Guesthouse in Key Largo, Florida, US","Private Cottage, enjoy beach, sunsets & fishing.",218.0,156.56024096385542,3.0,4.89,314.0,2024-07-11,2024-01-16,-177
"Condo in Malibu, California, US","Malibu, Carbon Beach - Suite Seven",898.0,156.56024096385542,2.0,4.86,311.0,2024-06-06,2024-01-13,-145
"Cottage in Petit-Tracadie, Canada",Waterfront Cottage #1 /Waterfront cottage,144.0,156.56024096385542,2.0,4.92,267.0,2024-06-04,2024-01-09,-147
"Cabin in Jarratt, Virginia, US",Harrell’s Cabin,125.0,156.56024096385542,2.0,4.82,612.0,2024-06-04,2024-01-09,-147
"Cabin in El Peñol, Colombia",6 Ibuku Big Cabin by Lake Jacuzzi Kayak,220.0,372.0,7.0,4.93,46.0,2024-06-12,2024-01-17,-147
"Guest suite in North Vancouver, Canada",The Brite House - Oceanfront Sojourn,305.0,251.0,3.0,4.87,319.0,2024-06-06,2024-01-11,-147
"Home in Shirley, Canada",♨ Cedar Coast Lodge - Coastal retreat w/ HOT TUB,480.0,290.0,5.0,4.82,125.0,2024-06-04,2024-01-09,-147
"Room in Kansas City, Missouri, US",Mansion in the Park - garden view queen en suite,148.0,39.0,3.0,4.99,93.0,2024-06-04,2024-01-10,-146
"Dome in Lac-Supérieur, Canada",Dome L'Albatros | Private Spa | BBQ Zone,322.0,232.0,6.0,4.86,196.0,2024-07-25,2024-01-31,-176
"Chalet in Saint-Damien, Canada",The Majesta ! Incredible Sunset !,315.0,78.0,1.0,5.0,11.0,2024-06-01,2024-01-06,-147
"Home in Tulum, Mexico","Heaven Lodge, entire house surrounded by nature",128.0,156.56024096385542,1.0,4.86,155.0,2024-06-02,2024-01-07,-147
"Apartment in Tulum, Mexico",☆King Bed Apartment☆ Suk-Ha ☆ La Veleta,55.0,156.56024096385542,4.0,4.6,73.0,2024-06-01,2024-01-06,-147
"Chalet in Durham, Canada",Newly-Constructed Riverfront Chalet,360.0,156.56024096385542,2.0,4.97,95.0,2024-06-04,2024-01-09,-147
"Tent in Island Park, Idaho, US","Yellowstone Luxury Tent; sleeps 3, 1 king +1 futon",224.0,156.56024096385542,2.0,5.0,31.0,2024-06-15,2024-01-20,-147
"Cabin in Arrowbear Lake, California, US",A-Frame Apogee | Hot Tub · Epic Views · Swing Set,227.0,156.56024096385542,1.0,4.96,166.0,2024-06-19,2024-01-24,-147
"Home in Borinquen, Puerto Rico",The Nest at Crash Boat. Only waterfront on Beach,363.0,156.56024096385542,3.0,4.9,143.0,2024-08-07,2024-01-12,-208
"Cottage in Wasaga Beach, Canada",Cozy Riverfront Cottage Retreat with Dock,232.0,156.56024096385542,1.0,4.84,55.0,2024-06-11,2024-01-16,-147
"Tiny home in Blockhouse, Canada",The Ruby -A Rustic Red Ark tiny home,81.0,156.56024096385542,2.0,4.98,43.0,2024-06-18,2024-01-23,-147
"Guesthouse in Peachland, Canada",Romantic lakefront estate with lake view & deck,271.0,156.56024096385542,2.0,5.0,311.0,2024-06-02,2024-01-07,-147
"Cabin in Shaftsbury, Vermont, US",The Vermont Dream Cabin on 70 Acres,219.0,156.56024096385542,1.0,4.89,136.0,2024-06-04,2024-01-09,-147
"Hotel room in Laguna Beach, California, US",Beachfront Laguna Beach Magnificent Oceanviews 26,287.0,228.0,2.0,4.38,396.0,2024-06-01,2024-01-06,-147
"Apartment in Playa del Carmen, Mexico","Su mejor opción en Playa del Carmen, a pasos de la quinta av.",89.0,198.0,2.0,4.78,231.0,2024-06-04,2024-01-09,-147
