Age,Attrition,DailyRate,DistanceFromHome,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobRole_Encoded,Department_Encoded
0.5476190476190477,1,1102,1,2,3,2,4,2,0.2624539231174302,19479,8,1,3,1,0,8,0,1,0.15000000000000002,4,0,5,7,2
0.7380952380952379,0,279,8,3,2,2,2,1,0.21700895208004214,24907,1,0,4,4,1,10,3,3,0.25,7,1,7,6,1
0.4523809523809524,1,1373,2,4,2,1,3,2,0.0569246972090574,2396,6,1,3,2,0,7,3,3,0.0,0,0,0,2,1
0.35714285714285715,0,1392,3,4,3,1,3,1,0.10005265929436546,23159,1,1,3,3,0,8,3,3,0.2,7,3,0,6,1
0.21428571428571425,0,591,2,1,3,1,2,1,0.1294892048446551,16632,9,0,3,4,1,6,3,3,0.05,2,2,2,2,1
0.3333333333333333,0,1005,2,4,3,1,4,2,0.10842548709847288,11864,0,0,3,3,0,8,2,2,0.17500000000000002,7,3,6,2,1
0.976190476190476,0,1324,3,3,4,1,1,1,0.08746708794102159,9964,4,1,4,1,3,12,3,2,0.025,0,0,0,2,1
0.28571428571428564,0,1358,24,4,3,1,3,0,0.08867825171142707,13335,1,0,4,2,1,1,2,3,0.025,0,0,0,2,1
0.4761904761904761,0,216,23,4,2,3,3,2,0.44849921011058447,8787,0,0,4,2,0,10,2,3,0.225,7,1,8,4,1
0.42857142857142855,0,1299,27,3,3,2,3,1,0.22264349657714586,16577,6,0,3,2,2,17,3,2,0.17500000000000002,7,7,7,0,1
0.4047619047619047,0,809,16,1,4,1,2,1,0.07461822011585045,16479,0,0,3,3,1,6,5,3,0.125,4,0,3,2,1
0.2619047619047619,0,153,15,4,2,2,3,2,0.16766719325961033,12682,0,1,3,4,0,10,3,3,0.225,5,0,8,2,1
0.3095238095238095,0,670,26,1,3,1,3,0,0.10015797788309638,15170,1,0,3,4,1,5,1,2,0.125,2,4,3,6,1
0.380952380952381,0,1346,19,2,3,1,4,0,0.08699315429173249,8758,0,0,3,3,1,3,2,3,0.05,2,1,2,2,1
0.23809523809523808,1,103,24,3,2,1,3,2,0.053659820958399156,12947,5,1,3,2,0,6,4,3,0.1,2,0,3,2,1
0.2619047619047619,0,1389,21,2,4,3,1,0,0.4724065297525013,10195,1,0,3,3,1,10,1,3,0.25,9,8,8,4,1
